uri_artista|nombre|fechaCreacion|descripcion
http://dbpedia.org/resource/The_Ocean_(band)|The Ocean|2000|The Ocean (anteriormente conocida como The Ocean Collective) es una banda de post metal formada en Berlín, Alemania, en 2000 por el guitarrista y compositor Robin Staps. Su discografía combina elementos del metal progresivo y el sludge metal con influencias de la música clásica y la música electrónica. El hecho de que no tenga alineación oficial hace que en sus grabaciones intervengan multitud de músicos diferentes.
http://jorgepedia.org/resource/Veronica Vasicka|null|null|null
http://jorgepedia.org/resource/Michel Polnareff|null|null|null
http://jorgepedia.org/resource/Hypno5e|null|null|null
http://jorgepedia.org/resource/Chloé|null|null|null
http://jorgepedia.org/resource/Markus Gibb|null|null|null
http://dbpedia.org/resource/Long_Distance_Calling_(band)|Long Distance Calling|2006|Long Distance Calling es una banda alemana de post-rock.
http://dbpedia.org/resource/Conflict_(band)|Conflict|1981|Conflict es una banda inglesa de anarcopunk originaria de Eltham, en el sur de Londres. Formada en 1981, la banda original estaba constituida por Colin Jerwood como vocalista, Francisco Paco Carreno en la batería, Big John en el bajo, Steve el guitarrista y Pauline como segunda voz. El primer disco de estudio fue The House that Man Built con la discográfica Crass Records.Su carrera ha sido exitosa y su música muy aplaudida por los seguidores del anarcopunk.
http://jorgepedia.org/resource/Rendezvous Point|null|null|null
http://dbpedia.org/resource/The_Boxer_Rebellion_(band)|The Boxer Rebellion|2001|The Boxer Rebellion es una banda indie, internacional creada en Londres alrededor del 2001, compuesta por Nathan Nicholson, nativo de Tennessee (vocalista, guitarra, teclado), Andrew Smith (guitarra principal) y los ingleses Adam Harrison (bajo) y Piers Hewitt (batería). Ellos han sacado por ahora un EP homónimo, cuatro álbumes de estudio, Exits (2005), Union (2009), The Cold Still (2011) y Promises (2013), así como un álbum recopilatorio B-Sides & Rarities Collection, Vol. 1 & 2 (2012).
http://dbpedia.org/resource/Vulcano_(band)|Vulcano|1981|Vulcano es una banda de black/death metal de Brasil. Fundada en 1981, es considerada la primera banda de metal extremo en el país y, posiblemente, del continente.
http://jorgepedia.org/resource/Bak XIII|null|null|null
http://jorgepedia.org/resource/THE GRIEF|null|null|null
http://jorgepedia.org/resource/INSANECOMP|null|null|null
http://jorgepedia.org/resource/Warfect|null|null|null
http://jorgepedia.org/resource/Malakwa|null|null|null
http://jorgepedia.org/resource/Maceo Plex|null|null|null
http://jorgepedia.org/resource/Rebolledo|null|null|null
http://jorgepedia.org/resource/Jennifer Cardini|null|null|null
http://dbpedia.org/resource/Coldrain|coldrain|2007|Coldrain （コールドレイン） es un grupo musical japonés, de rock alternativo y metalcore, formado en Nagoya el año 2007 por cinco integrantes: Vo/Masato, Ba/RxYxO, Gt/Y.K.C, Dr/Katsuma y Gt/Sugi.Este grupo en sus raíces fusiona distintos géneros musciales como Punk, Metal, Rock y Hardcore, que después fue fusionado con ligeros toques de pop potencial para la puesta en escena, aprovechando al máximo la audiencia.
http://jorgepedia.org/resource/Andrew Bird|null|null|null
http://jorgepedia.org/resource/Mark Lanegan|null|null|null
http://jorgepedia.org/resource/Adam Green|null|null|null
http://jorgepedia.org/resource/Tacocat|null|null|null
http://jorgepedia.org/resource/The Dali Thundering Concept|null|null|null
http://jorgepedia.org/resource/Bachar Mar-Khalifé|null|null|null
http://jorgepedia.org/resource/Child Of Waste|null|null|null
http://dbpedia.org/resource/The_Exploited|The Exploited|1979|The Exploited es una banda de hardcore punk de Edimburgo, Escocia, formada entre finales del año 1979 y principios de 1980 activa hasta el día de hoy.
http://jorgepedia.org/resource/Ease of Disgust|null|null|null
http://jorgepedia.org/resource/Artweg|null|null|null
http://dbpedia.org/resource/The_Dandy_Warhols|The Dandy Warhols|1994|The Dandy Warhols son un grupo de rock estadounidense, formado en Portland, Oregón.
http://jorgepedia.org/resource/Black Rainbows|null|null|null
http://jorgepedia.org/resource/Nu-Nation|null|null|null
http://dbpedia.org/resource/Me_First_and_the_Gimme_Gimmes|Me First and the Gimme Gimmes|1995|Me First and the Gimme Gimmes es un supergrupo de punk rock que basa su repertorio exclusivamente en interpretar reconocidas canciones anglosajonas de los 60, 70, 80 y 90.
http://jorgepedia.org/resource/Radical Failure|null|null|null
http://jorgepedia.org/resource/Hogwash|null|null|null
http://jorgepedia.org/resource/Silvio Rodríguez|null|null|null
http://dbpedia.org/resource/Sick_of_It_All|Sick of It All|1986|Sick of It All (SOIA) es un grupo de hardcore punk de Nueva York formado por los hermanos Lou —vocalista— y Peter Koller —guitarra—, Armand Majidi —batería— y Rich Cipriano —bajo— en 1984.
http://jorgepedia.org/resource/Bullitt|null|null|null
http://jorgepedia.org/resource/Bullitt|null|null|null
http://jorgepedia.org/resource/Siberian Meat Grinder|null|null|null
http://jorgepedia.org/resource/Luis Pastor|null|null|null
http://jorgepedia.org/resource/Ulises Lima|null|null|null
http://jorgepedia.org/resource/Ulises Lima|null|null|null
http://jorgepedia.org/resource/Broken Teeth|null|null|null
http://jorgepedia.org/resource/Ismael Serrano|null|null|null
http://dbpedia.org/resource/Extreme_Noise_Terror|Extreme Noise Terror|1985|Extreme Noise Terror (abreviado como ENT) son una banda de hardcore punk, death metal y grindcore originalmente creada en Ipswich, Inglaterra, en enero de 1985. Son una de las bandas fundamentales en los orígenes del crust punk actual y del grindcore.
http://jorgepedia.org/resource/Luis Eduardo Aute|null|null|null
http://jorgepedia.org/resource/Joan Colomo|null|null|null
http://jorgepedia.org/resource/Paco Ibáñez|null|null|null
http://jorgepedia.org/resource/Antu Saltor|null|null|null
http://dbpedia.org/resource/The_Unfinished_Sympathy|The Unfinished Sympathy|2000|The Unfinished Sympathy fue una banda de pop rock de la ciudad de Barcelona, España.Empezaron a tocar en enero del año 2000 y en diciembre del mismo año grabaron su primer álbum auto titulado, The Unfinished Sympathy.
http://jorgepedia.org/resource/Being Berber|null|null|null
http://dbpedia.org/resource/Ñu|Ñu|1974|Ñu, también conocido como José Carlos Molina-Ñu, es un grupo español de rock formado en 1974 en Madrid, su estilo, descrito en alguna ocasión como rock medieval, reúne elementos de música medieval, celta y heavy metal. Su fundador, José Carlos Molina (flautista y cantante), es el único miembro del grupo que ha permanecido durante toda la trayectoria del mismo.
http://dbpedia.org/resource/Cobra_(Japanese_band)|Cobra|1982|Cobra es un grupo de Osaka(Japón) de Streetpunk. Fueron una de las primeras bandas de Japón en incorporar el estilo del Oi! en su música y forma de vestir. Sus influencias son Cockney Rejects y The Business.La primera formación fue compuesta en 1982 por dos amigos que se habían conocido en el club de música de su escuela: Yosu-ko (voz y bajo) y Naoki (guitarra), y un mutuo amigo conocido como Mi-chan en la batería.
http://dbpedia.org/resource/Mägo_de_Oz|Mägo de Oz|1988|Mägo de Oz es una banda española de Folk metal fundada en mayo de 1989 por el baterista Txus di Fellatio en el barrio Begoña (Madrid).
