artista|ciudad|ubicacion|fecha_evento|hora|precio
Ciconia|Valladolid|Porta Caeli|2016-04-02|null|null
Quique González|Valladolid|LAVA - Laboratorio de las Artes de Valladolid|2016-04-29|10:30pm|null
Crisix|Valladolid|Porta Caeli|2016-05-12|null|null
Lendakaris Muertos|Valladolid|Porta Caeli|2016-05-21|null|null
